Date,Time,Latitude,Longitude,Depth[km],Magnitude(ML),Event_type,N.Stations,ID
2008/07/12,16:55:46.769319,53.4496,-168.1164,0.44,0.58,VT,5,ok08_150
2008/07/12,16:56:03.127100,53.4383,-168.1047,3.46,0.48,VT,7,ok08_151
2008/07/12,16:59:14.647203,53.4411,-168.1109,2.86,0.71,VT,8,ok08_152
2008/07/12,17:02:29.947454,53.4385,-168.0638,10.44,0.47,VT,5,ok08_153
2008/07/12,17:11:11.634081,53.4354,-168.0776,8.11,0.44,VT,6,ok08_154
2008/07/12,17:12:15.960529,53.4447,-168.1097,4.43,0.28,VT,7,ok08_155
2008/07/12,17:12:26.138442,53.4228,-168.135,10.38,0.54,VT,7,ok08_156
2008/07/12,17:17:58.173722,53.439,-168.0896,5.22,0.23,VT,6,ok08_157
2008/07/12,17:22:40.442913,53.4334,-168.0915,3.33,0.25,VT,5,ok08_158
2008/07/12,17:23:46.739021,53.4438,-168.1193,2.48,0.87,VT,9,ok08_159
2008/07/12,17:27:49.583681,53.4432,-168.0684,8.36,0.54,VT,4,ok08_160
2008/07/12,17:30:30.087435,53.435,-168.0905,4.72,0.8,VT,7,ok08_161
2008/07/12,17:31:17.706071,53.4498,-168.0686,12.01,0.44,VT,6,ok08_162
2008/07/12,17:35:27.945976,53.4445,-168.079,7.08,0.89,VT,7,ok08_163
2008/07/12,17:41:28.573425,53.4314,-168.1314,7.77,1.16,VT,9,ok08_164
2008/07/12,17:49:00.199434,53.4332,-168.0801,7.36,0.45,VT,5,ok08_165
2008/07/12,17:53:27.438156,53.4452,-168.1055,4.5,0.42,VT,7,ok08_166
2008/07/12,17:53:46.716508,53.4362,-168.0547,11.63,0.7,VT,5,ok08_167
2008/07/12,17:54:19.928020,53.4429,-167.9459,0.25,0.51,VT,4,ok08_168
2008/07/12,17:55:29.214190,53.4475,-168.1127,3.21,0.21,VT,6,ok08_169
2008/07/12,17:56:25.217526,53.446,-168.1044,3.58,1.58,VT,8,ok08_170
2008/07/12,18:03:00.169520,53.4285,-168.0267,14.34,0.94,VT,4,ok08_171
2008/07/12,18:03:11.440527,53.4522,-168.1214,0.13,0.3,VT,4,ok08_172
2008/07/12,18:03:28.340157,53.4431,-168.107,3.8,1.31,VT,9,ok08_173
2008/07/12,18:06:20.463281,53.443,-168.0749,9.31,0.52,VT,3,ok08_174
2008/07/12,18:06:50.283158,53.4388,-168.0745,8.11,0.42,VT,5,ok08_175
2008/07/12,18:09:15.066348,53.4406,-168.1322,4.06,0.34,VT,7,ok08_176
2008/07/12,18:11:42.152533,53.3613,-167.8859,11.82,0.91,VT,5,ok08_177
2008/07/12,18:12:59.017490,53.4474,-168.1099,4.15,0.63,VT,4,ok08_178
2008/07/12,18:14:35.801609,53.4436,-168.1017,6.86,0.02,VT,5,ok08_179
2008/07/12,18:14:58.952964,53.5264,-168.2203,10.19,1.0,VT,4,ok08_180
2008/07/12,18:15:37.415701,53.4436,-168.1012,4.47,0.65,VT,6,ok08_181
2008/07/12,18:18:36.895545,53.4496,-168.1108,4.37,0.41,VT,7,ok08_182
2008/07/12,18:19:16.300374,53.4515,-168.098,6.29,0.53,VT,3,ok08_183
2008/07/12,18:19:43.805182,53.435,-168.1023,6.16,0.24,VT,4,ok08_184
2008/07/12,18:20:34.865580,53.4437,-168.1161,3.05,0.93,VT,9,ok08_185
